EntityId,GRACT,FBUSD,TimeStamp
0,0.505,2922,1657285573
0,0.504,2922,1657285574
0,0.504,2922,1657285575
0,0.505,2922,1657285576
0,0.502,2922,1657285577
0,0.505,2922,1657285578
0,0.503,2922,1657285579
0,0.507,2922,1657285580
0,0.497,2922,1657285581
0,0.501,2922,1657285582
0,0.504,2922,1657285583
0,0.502,2922,1657285584
0,0.504,2922,1657285585
0,0.502,2922,1657285586
0,0.504,2922,1657285587
0,0.505,2922,1657285588
0,0.502,2922,1657285589
0,0.503,2922,1657285590
0,0.504,2922,1657285591
0,0.499,2922,1657285592
0,0.505,2922,1657285593
0,0.503,2922,1657285594
0,0.505,2922,1657285595
0,0.503,2922,1657285596
0,0.506,2922,1657285597
0,0.504,2922,1657285598
0,0.500,2922,1657285599
0,0.504,2922,1657285600
0,0.504,2922,1657285601
0,0.507,2922,1657285602
0,0.508,2922,1657285603
0,0.510,2922,1657285604
0,0.509,2922,1657285605
0,0.508,2922,1657285606
0,0.509,2922,1657285607
0,0.503,2922,1657285608
0,0.506,2922,1657285609
0,0.495,2922,1657285610
0,0.432,2922,1657285611
0,0.429,2922,1657285612
0,0.464,2922,1657285613
0,0.498,2922,1657285614
0,0.504,2922,1657285615
0,0.508,2922,1657285616
0,0.501,2922,1657285617
0,0.506,2922,1657285618
0,0.504,2922,1657285619
0,0.504,2922,1657285620
0,0.500,2922,1657285621
0,0.506,2922,1657285622
0,0.505,2922,1657285623
0,0.503,2922,1657285624
0,0.507,2922,1657285625
0,0.502,2922,1657285626
0,0.508,2922,1657285627
0,0.498,2922,1657285628
0,0.506,2922,1657285629
0,0.501,2922,1657285630
0,0.507,2922,1657285631
0,0.504,2922,1657285632
0,0.507,2922,1657285633
0,0.254,2922,1657285634
0,0.251,2922,1657285635
0,0.251,2922,1657285636
0,0.253,2922,1657285637
0,0.253,2922,1657285638
0,0.254,2922,1657285639
0,0.254,2922,1657285640
0,0.250,2922,1657285641
0,0.228,2922,1657285642
0,0.211,2922,1657285643
0,0.217,2922,1657285644
0,0.214,2922,1657285645
0,0.216,2922,1657285646
0,0.214,2922,1657285647
0,0.216,2922,1657285648
0,0.215,2922,1657285649
